id,prompt,category,image_path,VQA_mean,VQA_std,VQA_min,VQA_max
1,A photographer capturing a fleeting moment in a vibrant city street.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1.png,0.6228683300819063,0.021136473856091024,0.591723240531882,0.6388352797656791
3,A man shaping clay on a wheel in a cluttered workshop.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/3.png,0.7127730441171933,0.026897765131291322,0.6817267766465328,0.7360212969973179
6,"A fairy dancing lightly atop a blooming, moonlit flower.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/6.png,0.6217471655321372,0.030027131999692338,0.593609276671827,0.6614856654877381
8,"A ghostly ship sailing on a fog-shrouded, moonlit sea.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/8.png,0.6962130622507119,0.032402340155285855,0.670176704984625,0.7405498035298202
9,"A sorcerer's hat casting shadows over a cluttered, enchanted desk.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/9.png,0.341341672027851,0.02497094243597488,0.32423539898095244,0.3784590902141952
10,A pair of winged boots resting on a cloud in the sky.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/10.png,0.5203136283896391,0.028391119423016618,0.49560558190219656,0.5583269943353745
14,A book with glowing runes floating beside a mystic crystal.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/14.png,0.5486798707435814,0.04695062916466138,0.5083000187360949,0.6057990438488956
18,"A unicorn grazing peacefully in a radiant, rainbow-lit glade.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/18.png,0.6445917171943606,0.019977646471355654,0.6270381503544468,0.6693126946633093
20,A lantern casting dim light in a haunted forest.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/20.png,0.5716690488937824,0.04363575992301192,0.5341265462223722,0.6274947972732956
21,A cloak of invisibility draped over a chair in a secretive chamber.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/21.png,0.41064659619076976,0.005506527077253092,0.4030968239593021,0.4163219602930174
23,An enchanted broom sweeping in a wizard's lofty chamber.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/23.png,0.4388616961995524,0.021338537095627674,0.4239349352730316,0.4697635017088386
26,A girl dabs paint on a mural.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/26.png,0.6709916516308909,0.009015364186086653,0.6619228758499942,0.6834194849762091
27,A dancer twirls in a spotlight.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/27.png,0.3751064523783617,0.02321953049618502,0.35936414516010196,0.40922079513160775
34,A small cat waves a wand.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/34.png,0.4743616593065226,0.036239574525951876,0.43542132363588604,0.5175708866141865
36,A sailor hoists a sail.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/36.png,0.6352098786451259,0.005353080928820088,0.6302298796590904,0.6410853826981666
37,A bird nocks an arrow.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/37.png,0.632339427776016,0.010842173473953167,0.6183196019638634,0.6446726348086337
39,A red bicycle parked against a brightly painted wall.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/39.png,0.7636207781162199,0.026466486957002624,0.7450275362362424,0.8022458675298442
43,"An armchair with a knit blanket draped over it, next to a fireplace.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/43.png,0.7430391697496453,0.03410746585773683,0.7240905557040318,0.7940657584546306
44,A colorful mural of a bird adorning a city alley.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/44.png,0.7640588192134576,0.032577184455392656,0.7397985681509066,0.8101787211697369
47,A grand fountain surrounded by historic buildings in a town square.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/47.png,0.7125682893697223,0.01810402873017198,0.6967842555726225,0.7375364170002107
53,An oasis mirage with an ice palace reflecting moonlight in the desert.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/53.png,0.45223657303952747,0.021568266241161333,0.42919010862592216,0.480966233431423
56,A single rose growing through a crack.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/56.png,0.7865247553520672,0.026596107747149378,0.7690802370707283,0.8261514726455291
59,A butterfly perched on a wildflower in a meadow.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/59.png,0.7836420006749576,0.03379385228041511,0.7541915394787424,0.8319637828217654
60,A pilot with aviator sunglasses.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/60.png,0.7355533564994545,0.02523606501739135,0.7013041046440931,0.7620701083888303
61,A baker with a cherry pin on a polka dot apron.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/61.png,0.6876328937978298,0.05055763749680503,0.6238353148247107,0.7461389930307512
65,A ninja with a dragon emblem in a bamboo grove.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/65.png,0.44244659889606475,0.03023571218068731,0.4026269720689515,0.4741441777664966
66,A pirate with a skull earring on a treasure island.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/66.png,0.39482100256428654,0.03434185291704257,0.3566707061141034,0.43590151997738263
67,A wizard with a starry cape under a full moon.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/67.png,0.6222234240638889,0.02417303233175263,0.5997195913276622,0.6535692664470906
68,A fairy with butterfly wings in a dewy meadow.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/68.png,0.7073463294999781,0.05394452665804352,0.6710395673640172,0.786622824583395
71,An astronaut with a flag patch drifting in space.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/71.png,0.6381235733601269,0.03189145612563127,0.6123096702680609,0.6817267766465327
72,"A playful kitten with a bell collar on the left, batting at a fluttering butterfly on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/72.png,0.6535941338952607,0.03750143964312137,0.6155501631416019,0.7017130778138412
74,"An eagle with a silver band on its leg on the right, soaring past a towering pine tree on the left.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/74.png,0.6549062239993625,0.043047685553128004,0.6279512168265432,0.7189891779798493
75,A golden retriever sitting to the left of a blue picket fence.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/75.png,0.7032194832047542,0.0480874337464714,0.6710395673640172,0.7742421779165404
77,A white sailboat drifting towards the left on a calm lake.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/77.png,0.7303059601770863,0.045872474245292554,0.6926419831347362,0.7962924693012909
80,A snowy owl perched to the right on a frost-covered branch.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/80.png,0.7577496582888297,0.04574778430895389,0.7233094689745646,0.8241790822663343
83,A crystal-clear lake reflecting a mountainous landscape.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/83.png,0.7530494015030273,0.03419954634122254,0.7302898704283038,0.8028648524846254
86,A hammock strung between two palm trees on a beach.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/86.png,0.7840931814028594,0.033116655802693816,0.7602948833201225,0.8325091688411174
98,A group of children playing hide-and-seek in a blooming garden.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/98.png,0.46225671639117993,0.04899819750482646,0.4106381023930074,0.5170831917825521
99,"A librarian shelving books in a quiet, expansive library.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/99.png,0.6890675582538708,0.028285914097990805,0.6667138193189135,0.7260372900186408
101,A little girl tuning a guitar before a concert in a dimly lit venue.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/101.png,0.6454797397602867,0.04557860227564844,0.5774953651858118,0.6744794522230694
105,The sky teems with more birds than the number of fish visible in the lake below.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/105.png,0.45242767950623014,0.009599899815711027,0.4431184054407691,0.46587345377762773
107,A table setting with fewer forks than bowls.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/107.png,0.4964635320476305,0.01546592491234027,0.47706688313222806,0.512204606508897
109,A larger person in yellow clothing and a smaller person in a different color.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/109.png,0.6627137983099841,0.04842715123312261,0.6365790671593002,0.7352616368564966
111,A forest landscape with more birds in the sky than trees on the ground.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/111.png,0.6233918475313455,0.015776456380263888,0.6085940609116137,0.6428810108924662
112,A workspace with more computers than computer mice.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/112.png,0.6288592927136173,0.03819691909709968,0.6053325285300185,0.6859494550081926
113,An interior space with stools outnumbering the people.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/113.png,0.6561575603259151,0.022514967047913937,0.6392857917672555,0.689305616785446
115,A kitchen with a larger quantity of milk than juice.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/115.png,0.44198480146533736,0.02040736598699516,0.4215518210658887,0.46781798872397673
119,"A fish glides through the air, while a bird plunges underwater.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/119.png,0.32256944115653213,0.020919866875243557,0.30528294234216474,0.35175629421204174
121,"Children are swinging on the swings while their parents watch from nearby, and a puppy frolics around them.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/121.png,0.6387238683840022,0.03895512132766658,0.5893618976069926,0.6825737344123242
125,"A boat glides across the ocean, dolphins leaping beside it and seagulls soaring overhead.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/125.png,0.6033857507870359,0.029617870305245594,0.579400408904987,0.6464602133340666
131,"In a snowy landscape, a fox dashes across the terrain, while nearby, a dog sits calmly.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/131.png,0.5249292135725618,0.029826975680819764,0.4941408932061685,0.5626571729912544
138,Two cats playing with a single ball.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/138.png,0.2670147577825367,0.017686444477292673,0.25091278688527247,0.2889702304326297
