id,prompt,category,image_path,template,VQAScore_template,VQAScore_base,CLIPScore
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png,"Does this figure show ""A notebook lies open in the grass, with sketches on the left page and blank space on the right.""? Please answer yes or no.",0.6306849203709737,0.6306849203709737,0.3141338527202606
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png,"Is there ""A notebook lies open in the grass, with sketches on the left page and blank space on the right."" in this image? Please answer yes or no.",0.7158214700253839,0.6306849203709737,0.3141338527202606
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png,"Does the photo depict ""A notebook lies open in the grass, with sketches on the left page and blank space on the right.""? Please answer yes or no.",0.6544531744610249,0.6306849203709737,0.3141338527202606
350,"A notebook lies open in the grass, with sketches on the left page and blank space on the right.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/350.png,"Is this picture about ""A notebook lies open in the grass, with sketches on the left page and blank space on the right.""? Please answer yes or no.",0.6636689470737327,0.6306849203709737,0.3141338527202606
1042,"A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1042.png,"Does this figure show ""A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.""? Please answer yes or no.",0.6540113533952944,0.6535692664470906,0.3393903970718384
1042,"A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1042.png,"Is there ""A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans."" in this image? Please answer yes or no.",0.7065955179610505,0.6535692664470906,0.3393903970718384
1042,"A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1042.png,"Does the photo depict ""A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.""? Please answer yes or no.",0.6610481792447818,0.6535692664470906,0.3393903970718384
1042,"A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1042.png,"Is this picture about ""A woolen sweater drying on a wooden rack in the sun, next to a linen shirt and denim jeans.""? Please answer yes or no.",0.6783269517867622,0.6535692664470906,0.3393903970718384
1014,"Glistening, silver utensils neatly arranged beside a porcelain plate on a granite countertop.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1014.png,"Does this figure show ""Glistening, silver utensils neatly arranged beside a porcelain plate on a granite countertop.""? Please answer yes or no.",0.6757646010190476,0.6757646010190476,0.3083761036396026
1014,"Glistening, silver utensils neatly arranged beside a porcelain plate on a granite countertop.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1014.png,"Is there ""Glistening, silver utensils neatly arranged beside a porcelain plate on a granite countertop."" in this image? Please answer yes or no.",0.7341195269001831,0.6757646010190476,0.3083761036396026
